timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,density_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260322_093637,1,2,20,22,496,1001,0.0,0,0.44107157311311257,12.11692846599999,1.3887213210000482,0.06958326599919928,0.0552906560003521,0.1003840110006422,0.31274525299841116,0.05318688700162966,0.00030203500000425265,False,full_best
20260322_093637,2,3,25,28,642,1002,0.0,0,0.36937135994166703,1.4436900180000976,1.4431114019998859,0.07312911400208577,0.05910907700013013,0.09907799300344777,0.303529778997472,0.05429318599863109,0.00041816199995992065,False,full_best
20260322_093637,3,2,30,32,535,1003,0.0,0,0.4338730099328601,1.391606136000064,1.3908672610000394,0.07315256000288173,0.054751640998347284,0.09525903499888955,0.2797834230009357,0.050033510998218844,0.0005799109999315988,False,full_best
20260322_093637,4,3,50,53,1091,1004,0.0,0,0.4446255182909225,1.8273994479998237,1.824879719999899,0.12139280999940638,0.07323409400055425,0.10666001500089806,0.38071652900043773,0.058420399002443446,0.0023156759998528287,False,full_best
20260322_093637,5,4,75,79,1339,1005,0.0,0,0.41589221007035787,2.035172067000076,2.031933124000034,0.13386468899943793,0.07980211199787846,0.12761689200078763,0.39800916199897074,0.05953773900023407,0.003021224999883998,False,full_best
20260322_093637,6,5,100,105,1821,1006,0.0,0,0.35003531984514963,3.1354759420000846,3.130531886999961,0.13931645899947398,0.07508381900106542,0.12243657999965762,0.4114866570018876,0.06234695400007695,0.004740960000162886,False,full_best
20260322_093637,7,5,150,155,2247,1007,0.0,0,0.3231502815964233,2.5851011540000854,2.5715607859999636,0.1387177889978375,0.0848673689995394,0.12959905699813135,0.4122112210022806,0.06511967500136961,0.013252841999928933,False,full_best
20260322_093637,8,7,150,157,2351,1008,0.0,0,0.33986464476521033,4.105001990000119,4.091667610999821,0.1518388380018223,0.08769503499956954,0.14417260800382792,0.42308184999751575,0.06862854899804915,0.013086681999993743,False,full_best
20260322_093637,9,8,200,208,2997,1009,0.0,0,0.3396044386384577,6.639505831999941,6.616322059999902,0.1904373770037182,0.0852862929980347,0.13072590499928083,0.4168758309990608,0.06206329700285096,0.022945231999983662,False,full_best
20260322_093637,10,10,2000,2010,20149,1010,0.0,0,0.25920319143428033,239.37245675000008,239.31251443799988,0.3342055249991063,0.35932306799963953,0.14744538300169552,0.7624573949981368,0.1037257090026742,0.05968135399962193,False,full_best
