timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,density_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260322_102413,1,2,20,22,496,1001,0.0,0,0.42840579220045516,14.230599576000003,1.9127145619999908,0.15118330600012087,0.09266106299949683,0.12168139200019823,0.6023187890001225,0.0678291409998053,0.001222737000006191,False,best_config_direct
20260322_102413,2,3,25,28,642,1002,0.0,0,0.38220535578742004,2.9321110059999853,2.931141918999998,0.08431008000067663,0.06676654899968071,0.11315956799967353,0.32253756400021416,0.06237422600005971,0.0007008839999969041,False,best_config_direct
20260322_102413,3,2,30,32,535,1003,0.0,0,0.443586508175853,2.605354362999975,2.6043517399999985,0.06493047200021351,0.0505627079999158,0.08765596199972947,0.2542235740007186,0.04810222099928296,0.0008114219999981742,False,best_config_direct
20260322_102413,4,3,50,53,1091,1004,0.0,0,0.4673529002464729,7.006145021000009,7.004349898999976,0.11002360200026828,0.0736547880001126,0.11829979499981391,0.36147147199969254,0.060546329000203514,0.0015299419999905695,False,best_config_direct
20260322_102413,5,4,75,79,1339,1005,0.0,0,0.44613622324811103,14.335134930999999,14.331107206000013,0.11021784199962781,0.06452747200023623,0.10783998400034989,0.3379787049996139,0.06059887400027719,0.003810330999982625,False,best_config_direct
20260322_102413,6,5,100,105,1821,1006,0.0,0,0.4051444635043128,23.12900086100001,23.121318379,0.12305482399997913,0.07311713400019926,0.10928525999972294,0.3771935820003023,0.06106360600014682,0.007390261000011833,False,best_config_direct
20260322_102413,7,5,150,155,2247,1007,0.0,0,0.3709217188376964,42.11365458800003,42.101276219,0.14300940499981607,0.07925847099949124,0.11058451600001717,0.35541324000087116,0.06372085399920024,0.012095745999999963,False,best_config_direct
20260322_102413,8,7,150,157,2351,1008,0.0,0,0.4057041361559663,36.13500857099996,36.12542283099998,0.10431010499962667,0.06934975199993687,0.10791566599976932,0.34507858100073463,0.06102255100034881,0.009363802999985182,False,best_config_direct
20260322_102413,9,8,200,208,2997,1009,0.0,0,0.4067105929826095,91.54605501600003,91.52815562199999,0.11980287099981979,0.07802272599985827,0.10272783300047195,0.3536825419996603,0.05922980400009692,0.016790340000000015,False,best_config_direct
20260322_102413,10,10,2000,2010,20149,1010,0.030845771144278607,62,0.33443856533732513,4636.142877955,4636.087643774,0.2776482329999226,0.26596284899960665,0.13475146700068308,0.6678688470005909,0.08388485499943954,0.04692768099994282,False,best_config_direct
