timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,density_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260421_124936,1,2,20,22,496,1001,0.0,0,0.3702124714648567,12.905731600010768,3.3407637000782415,0.0940235995221883,0.08361979946494102,0.14104510052129626,0.3727103993296623,0.06723800080362707,0.0003429000498726964,False,selective_projected_shelf_v2_full_suite
20260421_124936,2,3,25,28,642,1002,0.0,0,0.33011228420219224,19.04299790004734,6.163613899960183,0.10973839927464724,0.09838419943116605,0.15623270033393055,0.4548027020646259,0.08382979652378708,0.0004980000667273998,False,selective_projected_shelf_v2_full_suite
20260421_124936,3,2,30,32,535,1003,0.0,0,0.34740319593866353,33.94965100008994,12.319237300078385,0.11521330033428967,0.09805940161459148,0.1644765998935327,0.43205599824432284,0.07753080048132688,0.0008429000154137611,False,selective_projected_shelf_v2_full_suite
20260421_124936,4,3,50,53,1091,1004,0.0,0,0.4193130705667438,32.06973079999443,14.10018750000745,0.17965350183658302,0.12079109821934253,0.18972700054291636,0.5873345020227134,0.10701899882405996,0.0020859999349340796,False,selective_projected_shelf_v2_full_suite
20260421_124936,5,4,75,79,1339,1005,0.0,0,0.391221463905735,60.68086299998686,29.411408800049685,0.2455332992831245,0.11833770084194839,0.19558849919121712,0.6380019013304263,0.08866829972248524,0.004550899961031973,False,selective_projected_shelf_v2_full_suite
20260421_124936,6,5,100,105,1821,1006,0.0,0,0.3189335479546393,111.3275072000688,60.00687179993838,0.18191560043487698,0.11908380046952516,0.1917972982628271,0.6921718004159629,0.08268720027990639,0.016258400049991906,False,selective_projected_shelf_v2_full_suite
20260421_124936,7,5,150,155,2247,1007,0.0,0,0.2795272813120407,204.38090370001737,85.94643160002306,0.3073210014263168,0.13586839952040464,0.1980543005047366,0.6473702986259013,0.12597020016983151,0.012145099928602576,False,selective_projected_shelf_v2_full_suite
20260421_124936,8,7,150,157,2351,1008,0.0,0,0.30188088799371293,153.92631610005628,89.70703579997644,0.2886039997683838,0.12657900096382946,0.1768285984871909,0.5965592017164454,0.10192999988794327,0.017625800101086497,False,selective_projected_shelf_v2_full_suite
20260421_124936,9,8,200,208,2997,1009,0.0,0,0.31229550103594056,32.207542999996804,15.982360400026664,0.25111440068576485,0.13094810023903847,0.1761728993151337,0.599889999255538,0.07739329896867275,0.033672799938358366,False,selective_projected_shelf_v2_full_suite
20260421_124936,10,10,2000,2010,20149,1010,0.0,0,0.25512061479838,38.538476600078866,38.5085315000033,0.14128090010490268,0.16142010013572872,0.08309919980820268,0.3486288991989568,0.042548100696876645,0.01820490008685738,False,selective_projected_shelf_v2_full_suite
20260421_124936,11,10,10000,10010,92486,1011,0.0,0,0.6012239586955388,109.54498070001137,109.23917999991681,0.07535930012818426,0.20305159979034215,0.026407600264064968,0.19659729942213744,0.01221470010932535,0.1301638000877574,False,selective_projected_shelf_v2_full_suite
20260421_124936,12,10,100000,100010,902282,1012,0.0,0,0.6538971974514773,16.563904199982062,11.356104900012724,0.29165530030149966,2.8308175996644422,0.04661819990724325,0.56433380022645,0.027724499814212322,2.6217695999657735,False,selective_projected_shelf_v2_full_suite
